Phone Model,Year Released,Total Sales (millions),Storage Options,Additional Features,Display Type,Charging Technology,Front Camera Specs,Rear Camera Specs,Weight (grams),Battery Capacity (mAh),Average Screen Time (hours),Operating System,Dimensions (mm),Audio,Display Resolution,IP Rating,Accessories,Estimated Price Range (USD)
Samsung Galaxy S,2010,24,"8GB, 16GB",AMOLED Display,Super AMOLED,Micro USB,0.3 MP,5 MP,119,1500,5,Android 2.3,122.4 x 64.2,Stereo Speakers,480 x 800,IP68,"Charger, Earphones",$400 - $600
Samsung Galaxy S2,2011,40,"16GB, 32GB","Dual-core Processor, Super AMOLED Plus Display",Super AMOLED Plus,Micro USB,2 MP,8 MP,116,1650,6,Android 2.3,125.3 x 66.1,Stereo Speakers,480 x 800,IP68,"Charger, Earphones",$300 - $500
Samsung Galaxy S3,2012,70,"16GB, 32GB, 64GB","S Voice, NFC, Smart Stay",Super AMOLED HD,Micro USB,1.9 MP,8 MP,133,2100,6,Android 4.0,136.6 x 70.6,Stereo Speakers,720 x 1280,IP67,"Charger, Earphones",$300 - $450
Samsung Galaxy S4,2013,80,"16GB, 32GB, 64GB","Air Gestures, Eye Tracking",Super AMOLED,Micro USB,2 MP,13 MP,130,2600,5,Android 4.2,136.6 x 69.8,Stereo Speakers,1080 x 1920,IP67,"Charger, Earphones",$400 - $600
Samsung Galaxy S5,2014,65,"16GB, 32GB",Water and Dust Resistance,Super AMOLED,Micro USB,2.1 MP,16 MP,145,2800,7,Android 4.4,142 x 72.5,Stereo Speakers,1080 x 1920,IP67,"Charger, Earphones",$400 - $600
Samsung Galaxy S6,2015,45,"32GB, 64GB, 128GB",Premium Metal and Glass Design,Super AMOLED,Micro USB,5 MP,16 MP,138,2550,6,Android 5.0,143.4 x 70.5,Stereo Speakers,1440 x 2560,IP68,"Charger, Earphones",$500 - $700
Samsung Galaxy S7,2016,48,"32GB, 64GB",Water and Dust Resistance,Super AMOLED,Micro USB,5 MP,12 MP,152,3000,6.5,Android 6.0,142.4 x 69.6,Stereo Speakers,1440 x 2560,IP68,"Charger, Earphones",$500 - $700
Samsung Galaxy S8,2017,37,"64GB, 128GB","Infinity Display, Iris Scanner",Super AMOLED,USB-C,8 MP,12 MP,155,3000,6,Android 7.0,148.9 x 68.1,Stereo Speakers,1440 x 2960,IP68,"Charger, AKG Earphones",$600 - $800
Samsung Galaxy S9,2018,35,"64GB, 128GB, 256GB","Super Slow-Mo, AR Emoji",Super AMOLED,USB-C,8 MP,12 MP,163,3000,6.5,Android 8.0,147.7 x 68.7,Stereo Speakers,1440 x 2960,IP68,"Charger, AKG Earphones",$600 - $850
Samsung Galaxy S10,2019,44,"128GB, 512GB","In-display Fingerprint, Ultrasonic Fingerprint",Dynamic AMOLED,USB-C,10 MP,12 MP + 12 MP + 16 MP,157,3400,7,Android 9.0,149.9 x 70.4,Stereo Speakers,1440 x 3040,IP68,"Charger, AKG Headphones","$900 - $1,300"
Samsung Galaxy S20,2020,20,"128GB, 256GB, 512GB","120Hz Display, 8K Video Recording",Dynamic AMOLED 2X,USB-C,10 MP,12 MP + 64 MP + 12 MP,163,4000,6.5,Android 10,151.7 x 69.1,Stereo Speakers,1440 x 3200,IP68,"Charger, AKG Headphones","$900 - $1,400"
